timestamp,accel_x,accel_y,accel_z
1637208704662,61.6887,-15.1929,-2.4365
1637208704678,73.2108,-11.6651,0.3637
1637208704692,86.2467,-12.6933,-2.9093
1637208704708,100.2976,-18.3131,-10.7097
1637208704724,108.543,-23.8974,-20.8557
1637208704738,107.047,-25.1206,-25.9469
1637208704754,100.8141,-24.8725,-24.1832
1637208704770,95.0975,-23.1528,-18.5283
1637208704784,91.2153,-20.6,-14.9099
1637208704800,90.2714,-18.6322,-14.0917
1637208704816,90.9659,-17.8876,-14.2917
1637208704830,92.0345,-16.2389,-14.4917
1637208704846,93.9934,-15.4589,-15.71
1637208704862,96.5756,-16.6998,-16.2191
1637208704876,98.5168,-17.9585,-19.4193
1637208704892,97.7866,-19.2527,-21.5649
1637208704908,96.6112,-19.4299,-22.0922
1637208704922,94.9729,-18.4194,-22.1285
1637208704938,93.6906,-17.9585,-22.7286
1637208704954,92.6934,-18.1181,-22.4013
1637208704970,92.818,-16.6821,-22.0376
1637208704984,94.1715,-14.5547,-19.9284
1637208705000,91.4646,-14.2711,-21.2739
1637208705016,90.0577,-16.3984,-26.2197
1637208705030,89.6303,-16.363,-27.1652
1637208705046,89.1139,-17.3735,-24.8923
1637208705062,89.6303,-17.4976,-22.6195
1637208705076,89.2563,-18.2953,-20.2921
1637208705092,90.7166,-20.6532,-19.8557
1637208705108,91.4824,-24.4824,-21.7649
1637208705122,89.7372,-26.3084,-24.3105
1637208705138,90.5563,-25.3511,-25.1287
1637208705154,94.6701,-22.8869,-22.9286
1637208705168,103.5922,-20.1745,-22.7831
1637208705184,115.4349,-19.9972,-22.074
1637208705200,125.8172,-20.8836,-23.8014
1637208705214,130.7502,-20.4759,-26.3288
1637208705230,129.3967,-18.2422,-25.3105
1637208705246,121.5076,-16.8594,-22.3467
1637208705260,104.4826,-15.6007,-16.9646
1637208705276,84.4124,-13.1719,-10.346
1637208705292,67.3696,-8.2967,-1.2001
1637208705306,58.9996,-2.4997,6.0731
1637208705322,64.0573,3.067,14.9645
1637208705338,85.2494,3.4924,14.6008
1637208705354,113.0663,-3.8647,9.4005
1637208705368,130.1981,-16.2743,-0.2909
1637208705384,128.3104,-26.4325,-14.0008
1637208705400,123.3418,-26.8048,-20.9467
1637208705414,119.7623,-19.9795,-15.7827
1637208705430,112.1403,-15.9375,-12.4007
1637208705446,104.3401,-13.0656,-11.8734
1637208705460,101.5442,-8.474,-11.9825
1637208705476,97.003,-9.8745,-12.3825
1637208705492,92.4084,-17.1962,-13.7099
1637208705506,90.4851,-19.6781,-13.6371
1637208705522,90.5029,-16.6466,-13.5462
1637208705538,90.1289,-9.325,-12.6735
1637208705552,89.6481,-3.0138,-10.9643
1637208705568,87.9919,-2.9606,-8.6187
1637208705584,87.5111,-5.1589,-7.164
1637208705598,90.8769,-5.673,-4.2002
1637208705614,95.7921,-6.1694,-6.4731
1637208705630,98.0181,-6.7012,-9.4551
1637208705644,99.2291,-9.3959,-10.0551
1637208705660,101.1346,-10.1404,-10.8733
1637208705676,102.1141,-8.8463,-11.2916
1637208705690,101.7935,-9.0236,-12.9098
1637208705706,99.6209,-8.3676,-14.5827
1637208705722,99.0688,-6.648,-16.8737
1637208705738,101.9894,-4.8929,-20.6012
1637208705752,108.2046,-2.7833,-22.7468
1637208705768,117.2157,-3.1024,-22.5831
1637208705784,129.5214,-3.9711,-25.656
1637208705798,131.3913,-6.8785,-26.4742
1637208705814,116.6993,-12.0373,-21.5467
1637208705830,103.7881,-15.1398,-17.7828
1637208705844,99.2469,-17.8876,-18.8374
1637208705860,96.3085,-18.8804,-15.8555
1637208705876,89.1317,-17.7458,-11.9461
1637208705890,78.7315,-18.7563,-9.6005
1637208705906,72.9615,-14.9979,-6.5095
1637208705922,71.7505,-9.52,-2.4547
1637208705936,73.7807,-7.5167,2.1274
1637208705952,79.9959,-7.1976,-0.4364
1637208705968,88.5618,-9.3959,-3.782
1637208705982,94.8126,-13.6506,-9.0005
1637208705998,99.8168,-16.6466,-14.0917
1637208706014,106.3703,-18.1358,-16.6191
1637208706028,111.6951,-19.0222,-18.6192
1637208706044,113.0841,-19.5718,-21.6558
1637208706060,110.1813,-18.3485,-22.9104
1637208706074,106.9936,-14.3065,-22.6013
1637208706090,104.8388,-11.2219,-20.6375
1637208706106,103.61,-9.254,-17.7283
1637208706122,101.7401,-9.0236,-14.4554
1637208706136,101.1702,-9.0945,-13.3826
1637208706152,99.1401,-10.2645,-11.7098
1637208706168,96.6291,-9.9632,-11.0734
1637208706182,95.7386,-9.6618,-7.5823
1637208706198,95.2044,-9.6618,-6.6913
1637208706214,96.8249,-8.669,-9.6369
1637208706228,97.8578,-9.254,-11.8007
1637208706244,97.0921,-11.275,-12.6189
1637208706260,96.7003,-11.7005,-11.9825
1637208706274,96.5756,-11.931,-11.3097
1637208706290,97.8757,-10.3532,-11.7098
1637208706306,97.6085,-10.0163,-12.2916
1637208706320,96.7359,-12.1083,-13.0735
1637208706336,96.8071,-12.6046,-11.1097
1637208706352,98.1606,-11.8423,-10.0915
1637208706366,99.888,-10.2823,-11.4188
1637208706382,100.1195,-9.254,-11.6007
1637208706398,102.2387,-8.7222,-11.6188
1637208706412,105.5155,-8.1549,-11.0915
1637208706428,106.6018,-7.0203,-10.4551
1637208706444,106.2635,-7.6231,-11.3825
1637208706458,104.3045,-6.9317,-10.5461
1637208706474,101.4374,-5.9921,-10.8006
1637208706490,100.3688,-3.8115,-11.7643
1637208706506,101.3661,-1.0814,-10.9461
1637208706520,100.6894,0.9041,-7.0913
1637208706536,100.1551,2.1451,-3.182
1637208706552,99.1579,3.5279,1.4364
1637208706566,97.2524,6.063,5.1639
1637208706582,97.7688,8.3499,8.7641
1637208706598,101.8648,9.1122,10.6188
1637208706612,107.7238,9.2895,10.5824
1637208706628,112.9595,8.3854,8.5641
1637208706644,114.2951,5.1411,5.8003
1637208706658,112.1225,4.2015,4.3457
1637208706674,106.5484,4.3966,4.3457
1637208706690,102.1497,4.1661,3.9639
1637208706704,101.2058,3.7938,4.8366
1637208706720,101.9894,3.3329,3.7457
1637208706736,103.2894,3.4215,2.3456
1637208706750,103.5031,1.1346,0.3273
1637208706766,103.8771,-1.0282,1.6183
1637208706782,104.3758,-2.8897,2.982
1637208706796,101.7757,-4.0952,-0.4
1637208706812,101.4552,-0.7091,-4.2184
1637208706828,102.3278,0.8332,-5.6549
1637208706842,101.8291,0.8864,-5.0003
1637208706858,103.0757,0.8509,-6.5822
1637208706874,104.6251,1.3296,-9.0187
1637208706890,105.3374,0.4432,-12.528
1637208706904,102.4524,-1.9324,-14.1644
1637208706920,98.8373,-1.7728,-14.2735
1637208706936,96.6291,-1.0282,-13.6917
1637208706950,96.9496,2.8365,-10.9824
1637208706966,98.2496,5.673,-6.6367
1637208706982,101.1168,6.7721,-5.5276
1637208706996,100.173,7.5876,-5.2912
1637208707012,96.8784,6.8785,-4.4548
1637208707028,96.2907,7.4281,-2.4547
1637208707042,99.3894,5.2475,-2.4547
1637208707058,104.073,1.8083,-3.582
1637208707074,106.2813,-1.046,-6.3276
1637208707088,106.9046,-3.0315,-7.2186
1637208707104,107.3676,-3.9179,-6.9277
1637208707120,108.0265,-2.0033,-7.164
1637208707134,109.6293,-1.6842,-7.455
1637208707150,109.1306,-3.1201,-9.2551
1637208707166,102.3812,-5.8325,-12.728
1637208707180,96.914,-8.0663,-11.7825
1637208707196,95.8989,-10.4595,-10.637
1637208707212,95.4893,-11.2573,-10.637
1637208707226,94.1893,-11.0091,-8.3277
1637208707242,92.3372,-9.8745,-7.4368
1637208707258,92.4797,-8.4386,-7.1277
1637208707274,94.6167,-6.7898,-7.455
1637208707288,96.2373,-5.3361,-8.8732
1637208707304,95.7564,-5.1057,-10.6188
1637208707320,95.6852,-5.1234,-9.5278
1637208707334,99.4606,-4.6979,-9.4733
1637208707350,103.3785,-6.7721,-10.8006
1637208707366,105.2306,-9.1299,-10.2369
1637208707380,106.7443,-9.9986,-9.8187
1637208707396,106.4594,-10.5305,-10.5642
1637208707412,104.073,-9.8036,-15.2736
1637208707426,101.5976,-8.2967,-16.2373
1637208707442,99.336,-7.1267,-13.6735
1637208707458,98.5346,-8.4208,-12.0007
1637208707472,97.8757,-7.7649,-10.8915
1637208707488,97.1989,-6.2048,-8.946
1637208707504,97.0921,-6.4885,-10.0733
1637208707518,96.6469,-4.3966,-9.2733
1637208707534,97.662,-5.017,-10.1824
1637208707550,99.8168,-6.6835,-11.8552
1637208707564,102.7374,-8.4563,-11.6188
1637208707580,103.2004,-7.9953,-9.5278
1637208707596,102.0072,-6.7721,-8.7096
1637208707610,100.5291,-4.7334,-8.5278
1637208707626,98.2318,-2.411,-5.7821
1637208707642,97.6798,-1.2764,-3.0365
1637208707658,97.5017,-1.0991,-5.7458
1637208707672,96.6469,-2.1983,-9.9642
1637208707688,95.9345,-1.7551,-12.5644
1637208707704,95.7208,-1.5069,-11.5643
1637208707718,96.8428,-1.0637,-9.9642
1637208707734,98.0894,-1.9146,-10.0733
1637208707750,98.8729,-2.0033,-10.837
1637208707764,97.9291,-3.9002,-12.8735
1637208707780,97.0921,-4.6447,-12.4189
1637208707796,97.662,-5.4602,-11.8189
1637208707810,98.1606,-6.2935,-9.6005
1637208707826,97.5373,-7.038,-12.528
1637208707842,96.54,-5.7971,-12.2552
1637208707856,100.5825,-2.9251,-11.9461
1637208707872,106.9402,-0.1241,-8.455
1637208707888,117.6075,-0.1596,-6.3822
1637208707902,130.3406,-2.3578,-6.2549
1637208707918,135.2379,-3.8293,-2.6365
1637208707934,132.6201,-7.038,-0.3637
1637208707948,119.7445,-8.5626,2.1638
1637208707964,103.0401,-9.1831,12.728
1637208707980,90.7879,-9.7682,20.6739
1637208707994,87.7604,-8.5272,27.8016
1637208708010,90.7344,-9.8568,31.62
1637208708026,98.0181,-14.1115,25.5651
1637208708042,107.8128,-18.4726,16.2191
1637208708056,111.0896,-24.3583,9.746
1637208708072,107.9197,-30.7582,5.1821
1637208708088,105.4443,-32.0878,6.5276
